day,hour,branch,n,load_mae_base,load_mae_adaptive,pv_mae_base,pv_mae_adaptive,energy_buffer_kwh,actual_peak_error_kwh,energy_covered,interval_covered,calibration_paths
108,18,published-adjustable,36,166.27267829034386,17.462492394436865,5.23889351851852,3.733951912329948,213.88926858103605,93.59820882914909,1,32,27
109,0,historical-frozen,144,87.4068615492725,17.519648664426363,27.454491976686523,23.470425429894192,3435.0672410759007,757.4006393983199,1,136,27
109,0,published-frozen,144,87.4068615492725,17.519648664426363,72.54071574074075,56.49370210352525,6697.007160863674,5115.119509444564,1,132,27
109,0,published-adjustable,36,44.73739859457674,18.22850116065546,15.556057870370369,11.132435292420917,792.7007498879481,676.5389571999325,1,32,27
109,6,published-adjustable,36,125.43343103505292,20.955186825604397,129.5063694444444,101.10676041463657,3916.2396809640804,3292.596364913181,1,31,27
109,12,published-adjustable,36,124.39772509920641,15.886520435968302,140.42197962962965,90.14913498452569,802.232679536653,254.091660078009,1,35,27
109,18,published-adjustable,36,55.05889146825398,14.212205288572465,4.657506944444445,3.0317921853656618,213.88926858103605,0.0,1,35,27
110,0,historical-frozen,144,96.93884043072096,20.6599583942947,52.27357649636244,35.26274988425925,3435.0672410759007,416.2785440286498,1,132,27
110,0,published-frozen,144,96.93884043072096,20.6599583942947,105.86105625000002,79.0228883341977,6697.007160863674,3694.380825630905,1,126,27
110,0,published-adjustable,36,54.42977318121695,19.77461240372894,17.833146296296295,12.755954029880805,792.7007498879481,880.9512653422812,0,25,27
110,6,published-adjustable,36,128.50495031415346,20.9027381512392,176.75138055555547,121.473770187594,3916.2396809640804,4460.393629513978,0,28,27
110,12,published-adjustable,36,135.65453584656092,20.352416019870617,157.2704106481482,117.9426030828421,802.232679536653,18.762360369797875,1,36,27
110,18,published-adjustable,36,69.1661023809524,19.62445008676669,6.157097685185185,4.456408647775738,213.88926858103605,0.0,1,34,27
111,0,historical-frozen,144,91.22831764632942,18.488604965181114,30.815776752645522,22.32565615079365,3435.0672410759007,1003.6251734023957,1,136,27
111,0,published-frozen,144,91.22831764632942,18.488604965181114,74.98356898148147,62.00915439788054,6697.007160863674,6974.34531451207,0,136,27
111,0,published-adjustable,36,46.20602220568788,18.381775958350797,13.517952777777777,9.690607256854403,792.7007498879481,544.1727337284908,1,31,27
111,6,published-adjustable,36,118.82908244047621,17.961014561546314,145.00684120370371,105.74557365858269,3916.2396809640804,3106.8558887093977,1,36,27
111,12,published-adjustable,36,133.64932660383607,20.95816957165404,122.45444907407406,84.65025691677346,802.232679536653,449.8029289509775,1,36,27
111,18,published-adjustable,36,66.22883933531746,17.902283971657624,5.7298374999999995,3.9215927393095504,213.88926858103605,0.0,1,34,27
112,0,historical-frozen,144,93.50252361524473,19.03239530881006,36.67169122023811,26.355394527116403,3435.0672410759007,110.82071101361203,1,139,27
112,0,published-frozen,144,93.50252361524473,19.03239530881006,81.27701145833333,63.89162153920264,6697.007160863674,6939.073258823864,0,135,27
112,0,published-adjustable,36,55.56673821097885,18.338329731999238,17.68421898148148,12.7392987814857,880.951265342281,329.33976925484865,1,31,27
112,6,published-adjustable,36,122.71271582341271,19.354919665876757,111.0439365740741,84.88348711335281,3965.994244212334,2405.844414202841,1,35,27
112,12,published-adjustable,36,134.83797389219583,19.501689436190627,120.04670648148152,78.57885179055114,802.232679536653,255.875612604308,1,36,27
112,18,published-adjustable,36,60.89266653439155,21.54231729763112,6.233565277777778,4.332184786486389,201.34555283919656,0.0,1,35,27
113,0,historical-frozen,144,90.78318708250666,16.486630001058693,49.72960225281088,32.01893449074074,3435.0672410759007,319.08439258287024,1,140,27
113,0,published-frozen,144,90.78318708250666,16.486630001058693,75.33951944444445,60.01865569339532,6974.345314512072,4439.168594817176,1,140,27
113,0,published-adjustable,36,44.710750148809566,16.621317232746282,16.00835740740741,11.633443695357276,880.951265342281,704.3902635748558,1,36,27
113,6,published-adjustable,36,123.94782625661384,16.05855533365311,156.4127703703703,111.82463874637408,3965.994244212334,3924.589717981785,1,31,27
113,12,published-adjustable,36,129.02152903439156,18.450278096484073,185.6767847222223,142.14204523631255,802.232679536653,121.83438227034821,1,36,27
113,18,published-adjustable,36,65.45264289021168,15.797902267617221,6.682049537037036,4.647669667219287,201.34555283919656,0.0,1,35,27
114,0,historical-frozen,144,227.72948733052252,19.09273675803712,42.66575230241404,24.47913624338624,3435.0672410759007,18.36516666666671,1,141,27
114,0,published-frozen,144,227.72948733052252,19.09273675803712,108.18276377314812,82.87021233711276,6974.345314512072,6096.336932046841,1,139,27
114,0,published-adjustable,36,118.36849422949733,20.41145221506592,18.989660185185183,13.75840417205634,880.951265342281,36.030558401828614,1,36,27
114,6,published-adjustable,36,307.84363531746044,16.459119577075814,173.87613564814808,124.92746876912676,3965.994244212334,4446.74141734646,0,33,27
114,12,published-adjustable,36,323.1226107473546,22.810844947273555,146.92066990740742,106.15611970808439,802.232679536653,0.0,1,36,27
114,18,published-adjustable,36,161.5832090277778,19.220211367703868,7.273538425925925,5.0790702907706375,201.34555283919656,0.0,1,34,27
115,0,historical-frozen,144,226.88775707258594,20.285437225934288,57.24227733134924,46.04867870370371,3435.0672410759007,0.0,1,138,27
115,0,published-frozen,144,226.88775707258594,20.285437225934288,76.19255023148146,55.575371906800875,6974.345314512072,2814.2614370407646,1,136,27
115,0,published-adjustable,36,119.25912752976186,24.40728764333149,19.282828240740738,13.77915630677878,880.951265342281,0.0,1,34,27
115,6,published-adjustable,36,300.84514568452374,20.644740344975467,133.39733611111106,98.31434320348951,3965.994244212334,2747.131524762166,1,34,27
115,12,published-adjustable,36,328.5434940145502,18.98265146730448,169.09793750000003,103.37476211468446,802.232679536653,0.0,1,36,27
115,18,published-adjustable,36,158.9032610615079,19.71672228548225,7.161631481481482,4.852390430077438,201.34555283919656,41.390632898516856,1,33,27
116,0,historical-frozen,144,86.12678471808863,21.085794224450666,29.53783894262569,20.975005175264553,3435.0672410759007,26.351555367074525,1,126,27
116,0,published-frozen,144,86.12678471808863,21.085794224450666,92.1658079861111,66.94299343841799,6974.345314512072,5239.381029236025,1,130,27
116,0,published-adjustable,36,38.92521125992066,23.13946934602874,16.154126851851856,11.585799434251454,880.951265342281,26.351555367074525,1,33,27
116,6,published-adjustable,36,117.01080641534392,21.136523795790655,118.17935925925927,93.627157001805,4446.74141734646,2768.2077288584514,1,35,27
116,12,published-adjustable,36,127.71744441137564,21.669194604036388,133.91704398148158,72.93947826567882,802.232679536653,0.0,1,35,27
116,18,published-adjustable,36,60.85367678571432,17.353703016362356,6.47150462962963,4.07502293891831,201.34555283919656,0.0,1,36,27
117,0,historical-frozen,144,90.37616402943124,18.65697734682485,43.47207774884258,59.08853296957672,3435.0672410759007,7614.282646045903,0,121,27
117,0,published-frozen,144,90.37616402943124,18.65697734682485,79.89737164351853,57.411139708257,6974.345314512072,4727.570917931916,1,135,27
117,0,published-adjustable,36,47.93048156415349,21.478578487354447,15.293404166666667,10.994115628959397,880.951265342281,242.14268925661247,1,33,27
117,6,published-adjustable,36,118.54981124338626,23.018939250224896,130.3186638888889,91.0769233513227,4446.74141734646,3274.086261255501,1,31,27
117,12,published-adjustable,36,132.30198953373016,12.697354573668658,135.9823365740741,76.38654254558114,802.232679536653,683.975173186175,1,36,27
117,18,published-adjustable,36,62.72237377645504,16.956630797735823,7.562651388888887,5.041023148479848,201.34555283919656,0.0,1,34,27
