开始时间,日计划制定时间,计划负荷预测_kWh,计划光伏预测_kWh,实际负荷_kWh,实际光伏_kWh,实际净负荷_kWh,计划净负荷误差_kWh,执行时负荷预测_kWh,执行时光伏预测_kWh,执行时净负荷误差_kWh,段初SOC_kWh,段末SOC_kWh,实际存入_kWh,实际送达_kWh,弃光_kWh,弃购电_kWh,当段累计备用需求_送达kWh,窗口最大规划备用缺口_kWh,当段规划供电缺口_kWh,母线平衡残差_kWh,SOC递推残差_kWh
2025-02-01T10:20:00,2025-02-01T00:00:00,720.1014651404033,956.0414547619048,706.70705,933.6272333333333,-226.92018333333328,9.019806288168184,689.2664708333333,956.0414547619048,39.8548005952382,2784.7771767602017,2989.0053417592017,204.22816499899994,0.0,0.0,0.0,11315.56427222222,10658.028119999997,0.0,1.1111183084722143e-09,5.684341886080802e-14
2025-02-01T10:30:00,2025-02-01T00:00:00,738.909749656289,983.5044642857142,666.9933333333333,959.21875,-292.22541666666666,-47.63070203724146,708.9052749999998,983.5044642857142,-17.626227380952287,2989.0053417592017,3236.1446121063445,247.1392703471429,0.0,17.626227392063413,0.0,11182.346844444442,10658.028119999997,0.0,5.684341886080802e-14,-2.842170943040401e-14
2025-02-01T10:40:00,2025-02-01T00:00:00,723.237549056755,990.3674071428569,678.7204333333333,979.8081666666667,-301.0877333333334,-33.95787524723153,693.1709116666665,990.3674071428569,-3.8912378571429826,3236.1446121063445,3487.1170770944736,250.972464988129,0.0,22.229438902078982,0.0,11073.007469444443,10658.028119999997,0.0,0.0,1.1368683772161603e-13
2025-02-01T10:50:00,2025-02-01T00:00:00,711.3752229766247,998.286088095238,678.1305,1021.3479,-343.2174,-56.3065348813866,681.2481258333331,998.286088095238,-26.179437738095203,3487.1170770944736,3772.451243120188,285.3341660257144,0.0,26.179437749206215,0.0,10941.404216666664,10658.028119999997,0.0,-5.684341886080802e-14,-1.7053025658242404e-13
2025-02-01T11:00:00,2025-02-01T00:00:00,720.4530922366089,1018.6062499999999,652.925,1060.2749999999999,-407.3499999999999,-109.19684223660886,684.3115583333333,1018.6062499999999,-73.0553083333333,3772.451243120188,4073.316465610188,300.86522248999995,0.0,73.05530834444437,0.0,10765.899683333331,10658.028119999997,0.0,5.684341886080802e-14,2.2737367544323206e-13
2025-02-01T11:10:00,2025-02-01T00:00:00,725.4162638793057,1040.8077904761906,657.69435,1046.1778166666666,-388.4834666666666,-73.09194006978169,687.0384124999999,1040.8077904761906,-34.714088690476046,4073.316465610188,4078.292037106738,4.975571496549841,0.0,382.9550538927223,0.0,10578.370099999998,10658.028119999997,0.0,2.930988785010413e-14,1.056932319443149e-13
2025-02-01T11:20:00,2025-02-01T00:00:00,704.9490387042166,1041.4380952380952,656.1017166666666,1051.3417833333333,-395.24006666666673,-58.751010132788,662.1612699999998,1041.4380952380952,-15.963241428571337,4078.292037106738,4419.641179811024,341.34914270428584,0.0,15.963241439682463,0.0,10437.248377777776,10658.028119999997,0.0,5.684341886080802e-14,5.684341886080802e-14
2025-02-01T11:30:00,2025-02-01T00:00:00,688.9596788018011,1033.467857142857,654.535,1099.0625,-444.52750000000003,-100.01932165894436,648.2653250000001,1033.467857142857,-59.324967857143065,4419.641179811024,4637.2383292484155,217.59714943739152,0.0,202.75288951400944,0.0,10283.17651944444,10658.028119999997,0.0,2.842170943040401e-14,1.1368683772161603e-13
2025-02-01T11:40:00,2025-02-01T00:00:00,723.2787300865981,1052.3899095238096,692.20855,1136.31565,-444.10710000000006,-114.99592056278857,686.9176566666666,1052.3899095238096,-78.6348471428571,4637.2383292484155,4966.163356809844,328.92502756142864,0.0,78.63484715396822,0.0,10055.62888055555,10658.028119999997,0.0,5.684341886080802e-14,-5.684341886080802e-14
2025-02-01T11:50:00,2025-02-01T00:00:00,723.0113606627759,1067.3218238095237,680.1494833333334,1128.4168166666666,-448.2673333333332,-103.95687018658555,688.5517341666666,1067.3218238095237,-69.49724369047613,4966.163356809844,5307.056437478415,340.8930806685714,0.0,69.49724370158725,0.0,9812.695741666661,10658.028119999997,0.0,5.684341886080802e-14,-1.7053025658242404e-13
2025-02-01T12:00:00,2025-02-01T00:00:00,680.84400252213,1061.3401785714284,640.0333333333333,1100.65625,-460.6229166666667,-80.12674061736834,644.3198416666668,1061.3401785714284,-43.60257976190519,5307.056437478415,5682.374740682701,375.3183032042854,0.0,43.6025797730162,0.0,9598.89813333333,10658.028119999997,0.0,0.0,-1.7053025658242404e-13
2025-02-01T12:10:00,2025-02-01T00:00:00,674.6965432412242,1048.1504166666666,676.8413833333333,1105.4832,-428.6418166666666,-55.18794324122405,638.1239700000001,1048.1504166666666,-18.615370000000212,5682.374740682701,6051.3985426727,369.02380198999987,0.0,18.615370011111168,0.0,9410.356952777774,10658.028119999997,0.0,1.7053025658242404e-13,-5.684341886080802e-14
2025-02-01T12:20:00,2025-02-01T00:00:00,681.4733610110296,1039.5943238095238,663.0938,1089.4810666666667,-426.38726666666673,-68.2663038681726,644.8537016666667,1039.5943238095238,-31.646644523809755,6051.3985426727,6406.6651025912715,355.2665599185714,0.0,31.646644534920767,0.0,9208.118647222216,10658.028119999997,0.0,-5.684341886080802e-14,-2.2737367544323206e-13
2025-02-01T12:30:00,2025-02-01T00:00:00,680.9822138324191,1036.845535714286,594.0216666666666,1052.4125,-458.39083333333326,-102.52751145146635,644.3167583333334,1036.845535714286,-65.86205595238084,6406.6651025912715,6759.941002224129,353.27589963285726,0.0,65.86205596349185,0.0,8971.472955555551,10658.028119999997,0.0,-5.684341886080802e-14,2.8421709430404007e-13
2025-02-01T12:40:00,2025-02-01T00:00:00,680.6331470442038,1031.774961904762,601.1141666666666,1052.0977666666665,-450.9835999999999,-99.84178513944175,641.7514833333332,1031.774961904762,-60.96012142857103,6759.941002224129,7110.962132928415,351.0211307042859,0.0,60.96012143968221,0.0,8702.056844444443,10658.028119999997,0.0,5.684341886080802e-14,-3.979039320256561e-13
